Kohanimi
Lõbembe
Lõpe
Lõuta
Lõõla
Läbara
Läkumätas
Läti küla
Lätiniidi
Lätkalu küla
Läätsa
Lömala
Lühike jalg
Lükati
Lümanda
Lüübnitsa
Maarja-Magaleena
Makito
Mammaste
Massiaru
Masuküla
Matsi
Matsiranna
Matussaare tänav
Meeleski
Meenikunna
Meerapalu
Mehikoorma
Mehka
Merekindluse
Mereküla
Meresuu
Metsamatsi
Metsamägala
Metsapoole
Mikitamäe
Misso
Moe
Moka küla
Moldova küla
Moora
Mooste
Muda küla
Mudaaugu
Mudaste
Mudiste
Muhkva
Mui küla
Munaderahu
Munalaiu
Munalaskme
Munamägi
Munsi
Muraste
Murikatsi
Mustahamba
Mustakurmu
Mustanina küla
Mustaputsi soo
Mustjala
Muti
Muusika
Mõdriku
Mõega küla
Mõhküla
Mõniste
Mõnnaste
Mõnumetsa tee
Mõnuvere
Mõrtsuka
Mädaaugu
Mädajõgi
Mädapea
Mädasoo
Mäebe
Mäe-kõoküla
Mäeltse
Mäeumbaed
Mäksi vald
Mälaja-koht
Mällu
Märja
Mässa
Määri
Möllatsi
Möo
Mügra
Müramaa
Nabala
Naelavere
Nahkanuia
Nahkjala
Naissaar
Naistekivimaa
Naistemäe
Naistevalla
Napanurga
Napsi
Narva-jõesuu
Nedsaja
Neeruti
Neiuvaiba tee
Nelijärve
Nigunina
Nilbõ
Nina küla
Ninalaid
Nogikikka
Nohipalu
Noku talu
Norra mõis
Nosurahu
Nuia
Nukumäe
Nutu küla
Nuustaku
Nuutre
Nõela
Nõgiaru
Nõrava
Nõudmisel
Näo
Näpi
Näsuvere
Nätsi raba
Oa
Obinitsa
Odalätsi küla
Ohekatku
Ohtu
Ohukotsu
Ohulepa
Oina
Oiu
Oksan
Olgina
Ontika
Orajõe
Oraniku küla
Orava
Orgita
Orika
Orjaku
Otepää
Otu
Paatsalu
Paborissa
Pada
Padaorg
Paganamaa
Pagari
Pahajänese
Pahapilli
Pahavalla
Paikuse
Paiste
Palamulla
Palermo
Paope
Papiaru
Papiniidu
Parametsa
Parmupalu
Patra
Patupera
Patupera küla
Paugu
Paunvere
Pede jõgi
Pedejä
Pedele
Peenijõe
Penivitu
Penuja küla
Peravalla
Perdaku
Pesukaru
Petaaluse
Pidu
Pidul
Pidula
Pihkuri
Piigaste
Piina
Piistaoja
Pillapalu
Pilpa
Pilu küla
Pisisaare
Pisselaid
Plika küla
Podmotsa
Politseiaed
Polli
Poriküla
Poslovitsa
Poti
Potsu
Pottsepa
Praaga
Preedi
Priguldi
Prillmäe
Proskokvasino
Prähla
Prääma
Pudisoo
Pudivere
Puhtaleiva küla
Puhu-risti
Puiatu
Pullapää
Pulli
Pulliveski
Pulsti
Punapargi
Punnissaare
Puntarumäe
Purekkari neem
Purila
Purju
Purtsa
Purtse
Purtsi
Puru küla
Puskaru
Puski küla
Puspuri küla
Pussula
Pustuski
Pusu
Pusuvälja
Putkaste
Putu küla
Puugi
Puujala
Puulipeeru
Puuslik
Põdrala
Põdrasuu
Põdruse
Põlendmaa
Põlgaste
Põnni
Põrgu küla
Põrguvälja
Põripõllu
Põrja
Põrna
Põrsaku
Põrsanaeru
Põrste
Põõsaspea
Pädaste
Päraküla
Päri
Pärispea
Pärnu
Pärselja
Pässä küla
Päärdu
Pööravere
Püha
Püssi
Püssinina
Raadiojaama tee
Raamatu küla
Rahamäe
Rahuste
Raisa
Raka
Rakvere
Rannapungerja
Rassi saar
Rasva küla
Rebase mälestus
Rebu
Reo
Riistamäe
Riitaaho
Ringuta
Risu-suurüla
Roobuka
Roosileht
Roosta
Rootsi
Roslep
Ruila
Rumba
Rupsi
Rutikvere
Ruu
Ruunaraipe
Ruunavere
Rõmeda
Räime
Rämsi
Rääbise
Rääka
Saaremaa
Saarepeedi
Saar-järve
Sadala
Sadramõtsa
Sagadi
Saia
Saiakopli
Sakurgi küla
Sakussaare küla
Salajõe
Sandi küla
Sandisuu
Sandiväsitaja
Santovi
Sassi talu
Sassukvere
Saviaugu
Savikoti
Savisaare
Seanina
Seasaar
Seli
Seljaküla
Servaääre
Siberi
Siberi küla
Sibiküla
Sigala
Sigaoru
Sigaste
Sihva
Siidisuka
Siina
Sillaotsa
Simisti
Sindi
Sinimaa
Sipa
Sirptiiva
Sirtsu soo
Sitakare
Sitalepiku
Sitaliste soo
Sitapätsi jõgi
Sitika
Sitpeksi küla
Sitturkivi
Sivi küla
Smolnitsa
Soe küla
Soekõrdsi
Sokulaid
Sonda
Soodoma
Soolaleiva
Soomaa
Soosilla
Sopu
Sortsi raba
Sosi
Suksumetsa
Sulaoja
Sulbi
Supilinn
Supsi
Surju
Surmaorg
Suurkäkk
Suurpea
Suurõsuu küla
Sõnniku
Sõõrike-parasmaa
Sääsekõrva
Sääsküla
Söderby
Sülgoja
Sürgavere
Süvahavva küla
Taadikvere
Tammispea
Tanja
Tapa
Tapa – Loobu teeristmik
Tapupere
Tarakuse
Tarimaa
Tatika
Tatra
Teenuse
Tellivere
Tibi
Tiinuse
Tila
Tilga
Tilleorg
Tillupuksi
Tilluvälja
Tinalinn
Tissi
Titeristi
Toila
Tokolopi
Tolkuse
Tomatipea
Tomsake
Tondi
Tondirahu
Tondisaar
Toripõrgu
Torma
Tralliste
Triigi
Trolla
Troopika
Truvakuuri
Tseamäe
Tsiatsungõlmaa
Tsilgutaja
Tsirguliina
Tsolgo
Tsutsu
Tsõdsõpersemägi
Tudre
Tudu
Tudulinna
Tuhala
Tuleviku
Tupe
Tupenurme
Tussumulgu
Tutermaa
Tuti
Tutimäe
Tuudi
Tõhela
Tõravere
Tõrvaaugu
Tõrvanina
Tõugu
Tähemaa
Tähigenotsumägi
Täkulaid
Täkumetsa
Täkumure
Täkumätas
Tännassilma
Tässi
Tölga
Töörakõrve
Tühjasma küla
Tümps
Türi
Türsa
Udriku
Uduallika
Uduvere
Uia
Ulvi
umalakotid
Undama
Undiusse
Uniküla
Unipiha
Upa
Upsi
Urumarja
Usa küla
Usinitsa
Ussiaugu
Ussimäe
Ussisoo
Utessuu küla
Utu küla
Uuearu
Uugametsa
Uulu
Uurita
Uusvada küla
Vabamatsi
Vahakulmu
Vahetüki
Vahva küla
Valjala
Valma
Vana jüri
Vanamõisa mõis
Vanaroosa
Vanaussaia
Vangu talu
Vao
Varbla
Vardja
Varesmetsa küla
Varsasäär
Vasavere
Vatlsa
Vatsa küla
Vedruka küla
Veelkse
Veerseki
Venekuusiku küla
Venevere
Verega
Verelaskme
Verhulitsa
Verilaskme
Veriora
Vesiflirdi allee
Vetevana talu
Vetla voose
Vidruka
Vidu
Vihasoo
Vihi
Viinahaua
Viinakari
Viinamärdi
Viinistu
Vikskoosa
Villike küla
Vilsandi
Viluvere
Vinni
Vinninina
Virtsa
Virtsu
Viru valge
Viski
Vissi
Vissuvere
Viti küla
Vitiplu
Vivva
Voldi
Vorsti küla
Vudila
Vungiots
Võeva
Võhma
Või küla
Võibla
Võiste
Võlla
Võlumäe
Võntküla
Võõpsu
Väiko-Rääptsüvä
Väimela
Väljaotsa
Värdja
Värska
Vääna – jõesuu
Väänaviti
Õeste küla
Õlatu
Õllepruuli
Õpetaja soo
Ädanussu
Ädu
Äiamaa
Ännijärve
Äntu
Äriküla
Ässa
Ööbikuorg
Öörahu
Öötla
Üdruma küla
Ühtri
Üro
Üüdibe
