"X","Y"
662917.07,6472050.2
663198.39,6472165.03
663220.73,6471834.52
663041.03,6471892.01
662641.75,6471914.14
662669.68,6472059.72
662985.06,6471949.2
662805.7,6471909.05
657741.65,6474758.47
658614.42,6471037.87
658496.16,6474493.2
659547.54,6472199.26
657893.18,6473515.14
658875.19,6475519.45
659069.54,6476020.41
659405.18,6473673.63
659414.17,6473196.63
659472.03,6472462.87
660381.31,6472355.36
659567.3,6473466.18
659572.76,6472469.83
659509.58,6472940.71
660126.45,6472860.97
659734.4,6473094.92
656809.98,6473093.83
660380.82,6474401.3
658802.11,6473742.58
660307.6,6474579.68
659876.07,6475415.88
658740.39,6472221.53
658042.6,6472358.47
657870.23,6472129.63
657741.07,6472267.11
658267.06,6471989.22
659216.26,6471098.64
659807.2,6476185.05
656904.56,6473216.74
658773.57,6471891.5
658793.72,6475068.91
658915.16,6474579.98
663284.45,6471712.52
663226.01,6471565.67
663119.94,6471327.04
663314.51,6471567.89
663256.81,6471458.27
659219.84,6474207.18
659695.93,6473723.75
659236.7,6474322.93
659022.58,6471088.38
659162.49,6473789.06
658926.72,6471198.81
657607.16,6473160.33
658814.13,6471306.24
530739.7,6524071
525558.8,6524140
529556.4,6523719.4
527364.6,6524396
529667.3,6525074.7
531264.9,6525729.5
529915.8,6529525.8
528897.5,6530099.9
528804.6,6529650.4
532244.6,6525390.5
526689.2,6526112
525870.8,6525307.9
530303.5,6526018
529073.8,6526481.5
530812.4,6529557.9
530581.3,6525546.9
529834.9,6525524.9
529996.4,6526441
530829.1,6525501.4
531430.2,6524799
534487.6,6509970.5
534695.9,6510656
536834.4,6510676.6
534516.2,6519099.6
536931.1,6520098
539212.9,6519804.3
537353.4,6520071.1
531885.8,6516401.3
531701.5,6516343.6
534141.3,6511758.8
536117.4,6512928.6
532229.1,6515169.5
529985.8,6515444.6
529065.3,6515452
528448.6,6513057.8
528254.8,6514157.9
527210.7,6513545.1
526991.9,6513986.3
548665.49,6589775.81
542750.61,6587101.37
542880.8,6589225.87
542923.43,6589264.03
534372.87,6584503.96
537074.54,6588051.69
532847.46,6589265.69
533168.51,6588786.53
473418.76,6534593.54
529084.8,6516870.5
530817.3,6519505
531384.5,6520239.5
529598.7,6518662.1
529105,6519128.9
532899.9,6520621
532602,6520751.1
534661,6521798.9
534397,6521134.9
